Energy (kcal),Protein (g),Total Fat (g),Saturated fat (g),Carbohydr ate (g),Sodium (mg)
178,15.4,9.8,4.4,7,0
31.7,23.1,10.4,15.4,1,953
30.7,24.9,11.4,16.9,1.2,1107
23.3,21.5,8.9,14.1,0.9,749
20.9,15.8,6.8,8.6,0,539
212,17,13,5,8,312
1106,54,73,25,58,2397
633,28,37,12,47,1168
517,22.9,29.3,7.8,52.7,1302
896,44.1,54,18.2,71.1,2662
521,26,25.4,9.8,49.2,1651
496,27.5,24.6,6.7,53.8,1071
622,26,36,11,49,1363
633,28,37,12,47,1168
440,13,16,7,62,1139
515,14,19,10,72,1511
356,11,10,4,55,1850
304,31,14,7,14,753
239,14,14,6,14,269
446,21,28,11,27,1169
51,2,0.3,0.1,10,332
98,1,7,1,8,39
242,4,8,2,38,601
592,8,36,7,61,1438
107,0.7,1,0.7,24,77
166,2.5,10.8,5.9,14.6,32.4
348.4,13.92,14.89,4.72,39.67,1071
423,22.2,15.4,6.2,48,1135
588,21.0,23.5,9.6,67.5,1253
516,35.6,22.5,9.5,42.9,1302
610,38,29.5,12.2,48.1,1504
476.45,27.1,24.9,8.1,37.6,1253
532,31.1,25.2,10,45.7,1424
461,24,20.6,8.1,45.4,1284
416,18.5,18.3,7.1,34.6,853
221,11,6,3,31,788
556,26,24,10,55,1518
461,14,23,9,51,1129
102,1,5,2,12,481
105,0,0,0,26.3,7
0,0,0,0,0,21
66.5,0,0,0,16.1,14
150.5,0,0,0,37.5,10.5
66.5,0,0,0,16.1,38.5
113,0.9,0,0,27,21
188,5,5,2,31,93
128,2,4,2,21,60
132,6,8,4,10,88
0,0,0,0,0,3
